Emp ID	First Name	Gender	E Mail	Date of Birth	Age in Yrs.	Phone No. 	County	City	State	Premium-term	Premium-amount	Defaulter
542826	Marcus	M	marcus.bolton@aol.com	7/5/1977	40.09	212-514-2721	Queens	Bellerose	NY	Half-yearly	63525	No
590579	Priscilla	F	priscilla.mays@gmail.com	9/4/1985	31.92	231-346-3176	Oscoda	Fairview	MI	Half-yearly	185105	No
297741	Lynn	F	lynn.pena@yahoo.co.in	8/14/1962	54.99	217-334-0502	Stark	Castleton	IL	Half-yearly	48443	No
458320	Tessa	F	tessa.pace@aol.com	12/7/1957	59.68	319-672-2590	Butler	Austinville	IA	Half-yearly	44198	No
297059	Rufus	M	rufus.guerra@rediffmail.com	12/25/1967	49.62	212-472-1331	Monroe	Adams Basin	NY	Half-yearly	169620	Yes
874971	Roman	M	roman.clark@aol.com	12/25/1962	54.63	215-567-2136	Lancaster	Lampeter	PA	Half-yearly	125299	Yes
136626	Carmela	F	carmela.jefferson@walmart.com	3/17/1975	42.39	239-941-5976	Clay	Keystone Heights	FL	Half-yearly	132431	Yes
865495	Thurman	M	thurman.good@yahoo.com	1/27/1996	21.52	217-874-3909	Pope	Eddyville	IL	Half-yearly	118525	Yes
415161	Lemuel	M	lemuel.guerrero@aol.com	6/7/1985	32.16	215-226-4111	Somerset	Listie	PA	Half-yearly	127772	Yes
279563	Clint	M	clint.bridges@aol.com	5/3/1994	23.25	217-331-1409	Cook	Blue Island	IL	Yearly	67442	Yes
201710	Karyn	F	karyn.christian@aol.com	5/22/1983	34.21	206-731-9312	Chelan	Ardenvoir	WA	Yearly	96197	Yes
722543	Lesa	F	lesa.hughes@bp.com	2/13/1981	36.48	219-822-4544	Vigo	Terre Haute	IN	Yearly	96641	Yes
909337	Rich	M	rich.bates@apple.com	2/28/1989	28.43	270-833-4069	Mason	Maysville	KY	Yearly	145181	Yes
601071	Liz	F	liz.frank@hotmail.com	3/15/1986	31.39	339-926-4628	Hampshire	Amherst	MA	Yearly	199943	Yes
269523	Kendra	F	kendra.villarreal@gmail.com	10/22/1963	53.8	319-625-4770	Grundy	Beaman	IA	Yearly	144517	Yes
310986	Maryellen	F	maryellen.mcfadden@hotmail.co.uk	10/3/1975	41.85	479-467-9379	Jackson	Tuckerman	AR	Yearly	94221	Yes
323914	German	M	german.carney@aol.com	7/21/1958	59.06	231-975-6713	Montcalm	Lakeview	MI	Yearly	84824	Yes
928739	Micheal	M	micheal.shannon@earthlink.net	12/8/1986	30.66	217-864-7925	Bureau	Arlington	IL	Yearly	143864	Yes
238992	Carlo	M	carlo.albert@gmail.com	12/6/1961	55.68	212-267-9103	Onondaga	Liverpool	NY	Yearly	104197	Yes
434046	Bianca	F	bianca.langley@gmail.com	6/3/1960	57.19	228-683-5798	Jackson	Escatawpa	MS	Yearly	80844	Yes
971444	Elias	M	elias.cabrera@yahoo.com	7/13/1990	27.06	215-258-0052	Montgomery	Oaks	PA	Half-yearly	87962	Yes
602683	Alberta	F	alberta.chapman@comcast.net	6/5/1972	45.18	212-884-9934	Monroe	Rochester	NY	Half-yearly	125428	Yes
145327	Erin	M	erin.olsen@yahoo.ca	8/8/1994	22.99	215-325-1574	Fayette	Farmington	PA	Half-yearly	66575	Yes
597202	Frederic	M	frederic.stephenson@gmail.com	10/15/1969	47.82	314-672-3681	Barry	Seligman	MO	Half-yearly	192498	Yes
168824	Tanner	M	tanner.caldwell@aol.com	4/8/1968	49.34	219-315-4592	LaPorte	Michigan City	IN	Half-yearly	116635	Yes
616665	Clarence	M	clarence.powers@gmail.com	7/5/1982	35.09	229-748-1788	Bibb	Macon	GA	Half-yearly	108511	Yes
396135	German	M	german.sheppard@gmail.com	7/29/1991	26.02	252-794-3936	Mecklenburg	Matthews	NC	Half-yearly	110021	Yes
966525	Dion	M	dion.duffy@aol.com	4/6/1995	22.33	201-358-5413	Union	Plainfield	NJ	Half-yearly	124074	Yes
362287	Cornelius	M	cornelius.townsend@charter.net	6/2/1970	47.19	314-501-3342	Moniteau	High Point	MO	Half-yearly	176165	Yes
798646	Patsy	F	patsy.koch@gmail.com	7/15/1984	33.06	229-844-7119	Fulton	Atlanta	GA	Half-yearly	87146	No
451972	Waldo	M	waldo.shields@aol.com	11/29/1970	46.69	270-993-0450	Leslie	Wooton	KY	Half-yearly	62435	No
993675	Damien	M	damien.rose@gmail.com	7/15/1965	52.07	304-392-5876	Five Forks	Five Forks	WV	Half-yearly	161871	No
807964	Curt	M	curt.bridges@microsoft.com	10/22/1978	38.79	239-399-1809	Jefferson	Monticello	FL	Half-yearly	97656	No
769123	Brenton	M	brenton.matthews@bellsouth.net	11/6/1970	46.76	216-585-2060	Marion	Green Camp	OH	Yearly	98023	No
395792	Miguel	M	miguel.finley@gmail.com	7/6/1980	37.08	405-566-7872	Kingfisher	Kingfisher	OK	Yearly	103749	Yes
929791	Esperanza	F	esperanza.paul@aol.com	12/10/1960	56.67	236-750-2453	Lexington (city)	Lexington	VA	Yearly	176095	No
141326	Patricia	F	patricia.briggs@yahoo.com	11/13/1975	41.73	240-914-8001	Talbot	Easton	MD	Yearly	160494	No
232794	Forrest	M	forrest.noel@hotmail.com	3/25/1978	39.37	239-609-5243	Madison	Lee	FL	Yearly	112988	No
946835	Marjorie	F	marjorie.wells@bp.com	9/14/1961	55.91	316-282-5461	Douglas	Baldwin City	KS	Yearly	128425	No
894936	Vivian	F	vivian.burnett@gmail.com	2/9/1960	57.5	236-831-5026	Prince Edward	Hampden Sydney	VA	Yearly	93355	No
946630	Duncan	M	duncan.chen@yahoo.co.uk	2/17/1964	53.48	239-879-2427	Palm Beach	West Palm Beach	FL	Yearly	154843	No
381338	Miriam	F	miriam.barrett@yahoo.ca	6/25/1990	27.11	210-779-7802	McCulloch	Brady	TX	Yearly	131543	No
141178	Adam	M	adam.kirby@yahoo.ca	8/11/1963	54	208-736-4975	Latah	Potlatch	ID	Yearly	107957	Yes
169763	Benjamin	M	benjamin.macdonald@gmail.com	5/16/1976	41.23	316-561-5979	Greeley	Tribune	KS	Yearly	89172	Yes
326358	Neil	M	neil.murray@apple.com	9/17/1985	31.88	603-851-8092	Strafford	Milton	NH	Yearly	84151	Yes
185077	Nichole	F	nichole.oneil@shaw.ca	11/30/1957	59.7	209-683-3370	Butte	Bangor	CA	Yearly	153345	Yes
901185	Jonathon	M	jonathon.pearson@yahoo.com	9/30/1967	49.86	240-746-0671	Montgomery	Silver Spring	MD	Yearly	173372	Yes
264960	Brent	M	brent.bryant@aol.com	5/9/1960	57.26	423-391-0195	McNairy	Adamsville	TN	Yearly	180468	Yes
248449	Carlene	F	carlene.cain@rediffmail.com	11/25/1985	31.69	210-510-0508	Harris	Houston	TX	Yearly	107647	Yes
906870	Arnulfo	M	arnulfo.pittman@yahoo.ca	9/26/1972	44.87	215-333-8078	Schuylkill	Auburn	PA	Yearly	190709	Yes
160503	Nickolas	M	nickolas.williams@gmail.com	6/23/1985	32.12	307-656-9306	Carbon	Hanna	WY	Yearly	97725	Yes
212917	Raymundo	M	raymundo.kramer@aol.com	4/29/1975	42.28	252-396-5055	Surry	Toast	NC	Yearly	178073	No
337955	Jeremiah	M	jeremiah.dotson@cox.net	7/16/1988	29.05	216-364-7679	Morrow	Shauck	OH	Yearly	42840	No
171553	Tanner	M	tanner.matthews@rediffmail.com	9/24/1976	40.87	907-768-0562	Anchorage Municipality	Anchorage	AK	Half-yearly	161106	No
433510	Dorian	M	dorian.foster@gmail.com	7/24/1960	57.05	304-937-0141	Canebrake	Canebrake	WV	Yearly	98604	No
970502	Nora	F	nora.hansen@yahoo.co.uk	11/13/1982	34.73	319-877-0443	Wright	Woolstock	IA	Yearly	159223	No
668717	Danial	M	danial.watts@hotmail.com	8/15/1959	57.99	206-245-0115	Clallam	Joyce	WA	Half-yearly	188022	No
479832	Nelson	M	nelson.mcintosh@bp.com	8/17/1975	41.98	239-650-1951	Baker	Glen Saint Mary	FL	Half-yearly	139662	No
273645	Manuel	M	manuel.fulton@gmail.com	7/16/1983	34.06	339-281-4930	Peabody	Peabody	MA	Half-yearly	80629	No
266284	Dominic	M	dominic.henson@aol.com	4/8/1979	38.33	314-758-8742	Chariton	Sumner	MO	Half-yearly	180062	No
332802	Lowell	M	lowell.erickson@gmail.com	9/2/1982	34.93	308-308-0823	Cheyenne	Potter	NE	Half-yearly	104764	Yes
166615	Jayne	F	jayne.coleman@yahoo.ca	8/18/1980	36.97	236-667-5880	Norfolk (city)	Norfolk	VA	Half-yearly	171662	Yes
953967	Cornell	M	cornell.daniel@yahoo.com	5/27/1960	57.21	212-208-7933	Queens	Woodhaven	NY	Half-yearly	197951	Yes
114425	Doris	F	doris.glenn@yahoo.co.uk	1/14/1976	41.56	270-590-4835	Lawrence	Blaine	KY	Half-yearly	188137	Yes
676618	Tabatha	F	tabatha.gonzales@sbcglobal.net	6/9/1966	51.17	215-935-5310	Chester	Steelville	PA	Half-yearly	160421	Yes
581563	Jerome	M	jerome.foreman@verizon.net	12/11/1988	28.65	203-633-8482	Middlesex	Cobalt	CT	Half-yearly	125044	Yes
925484	Elton	M	elton.ferguson@ibm.com	11/30/1982	34.68	217-662-5907	DuPage	Lombard	IL	Half-yearly	176750	Yes
328562	Stacy	M	stacy.jennings@gmail.com	6/6/1980	37.17	225-548-6104	Catahoula	Enterprise	LA	Half-yearly	134904	Yes
759248	Rory	M	rory.fowler@shaw.ca	3/6/1976	41.42	215-234-1586	Armstrong	Templeton	PA	Half-yearly	70626	Yes
158543	Greg	M	greg.kane@bp.com	4/13/1964	53.33	270-884-8389	Henry	Turners Station	KY	Half-yearly	62904	Yes
275491	Julian	M	julian.russo@gmail.com	4/15/1958	59.33	207-313-8110	Lisbon Center	Lisbon Center	ME	Half-yearly	117739	Yes
257927	Agnes	F	agnes.herman@gmail.com	12/12/1975	41.65	303-834-2433	Crowley	Sugar City	CO	Half-yearly	128225	Yes
144114	Nancy	F	nancy.gillespie@ibm.com	4/26/1980	37.28	217-435-0157	Johnson	Cypress	IL	Half-yearly	41796	Yes
262843	Tyrone	M	tyrone.soto@yahoo.com	4/7/1973	44.34	215-785-6734	Cameron	Driftwood	PA	Half-yearly	175995	Yes
963676	Bradley	M	bradley.chan@hotmail.com	6/30/1979	38.1	503-254-6301	Multnomah	Portland	OR	Half-yearly	58663	Yes
745672	Emile	M	emile.love@gmail.com	10/19/1980	36.8	236-371-6203	Accomack	Mears	VA	Half-yearly	144867	Yes
135089	Zachary	M	zachary.gregory@cox.net	11/14/1986	30.72	907-896-4031	Fairbanks North Star	Fairbanks	AK	Half-yearly	193629	Yes
593953	Tara	F	tara.gutierrez@aol.com	1/29/1971	46.53	239-922-7150	Pasco	Zephyrhills	FL	Half-yearly	115223	Yes
169348	Aubrey	M	aubrey.pugh@gmail.com	12/13/1993	23.64	239-405-4736	Sarasota	Osprey	FL	Half-yearly	56797	Yes
976096	Carroll	M	carroll.sweeney@walmart.com	6/13/1989	28.14	218-412-2298	Stearns	Saint Martin	MN	Half-yearly	103003	Yes
790389	Claudette	F	claudette.solomon@yahoo.com	12/20/1984	32.62	308-298-8715	Douglas	Omaha	NE	Half-yearly	181603	Yes
143898	Ricky	M	ricky.bowers@hotmail.com	11/5/1976	40.75	205-610-5770	Lawrence	Mount Hope	AL	Half-yearly	124155	Yes
749765	Brian	M	brian.fitzpatrick@gmail.com	11/30/1978	38.68	239-710-0174	Orange	Orlando	FL	Half-yearly	151448	Yes
877422	Nicholas	M	nicholas.branch@gmail.com	2/4/1992	25.5	209-630-8100	Los Angeles	Pomona	CA	Half-yearly	134715	Yes
825343	Eileen	F	eileen.hobbs@gmail.com	5/10/1964	53.25	262-747-2220	Winnebago	Oshkosh	WI	Half-yearly	139476	Yes
155570	Colin	M	colin.wilson@yahoo.com	3/14/1976	41.4	210-884-1227	Montgomery	Conroe	TX	Half-yearly	131510	Yes
587361	Rosario	F	rosario.trevino@hotmail.co.uk	12/20/1960	56.64	239-837-1872	Gadsden	Chattahoochee	FL	Half-yearly	46453	No
191240	Salvador	M	salvador.gutierrez@hotmail.com	2/27/1994	23.43	270-927-3494	Pike	Huddy	KY	Half-yearly	98487	No
404070	Aldo	M	aldo.medina@gmail.com	11/6/1973	43.75	701-676-5051	Emmons	Linton	ND	Half-yearly	61791	No
192175	Bret	M	bret.blevins@gmail.com	9/30/1979	37.85	231-210-4653	Tuscola	Vassar	MI	Half-yearly	163665	No
825853	Dominic	M	dominic.mosley@gmail.com	7/19/1996	21.04	206-882-1588	Clark	Vancouver	WA	Half-yearly	112683	No
430843	Karina	F	karina.owens@gmail.com	10/30/1957	59.78	605-328-0861	Turner	Centerville	SD	Half-yearly	91713	No
597805	Marquis	M	marquis.perkins@aol.com	11/30/1984	32.68	212-941-0218	Ontario	Manchester	NY	Half-yearly	186371	No
651120	Damon	M	damon.solomon@aol.com	7/31/1964	53.03	218-273-9680	Chisago	Stacy	MN	Half-yearly	157154	No
995242	Leonel	M	leonel.atkins@hotmail.com	7/11/1996	21.06	304-862-3580	McDowell	Isaban	WV	Half-yearly	190537	No
839558	Teddy	M	teddy.merritt@msn.com	6/10/1977	40.16	215-283-5083	Jefferson	Timblin	PA	Half-yearly	43192	No
398788	Alexandria	F	alexandria.long@hotmail.com	2/15/1989	28.47	217-924-3225	McLean	Cooksville	IL	Yearly	136817	No
166790	Margaret	F	margaret.reilly@yahoo.com	10/5/1971	45.84	239-788-2444	Hillsborough	Plant City	FL	Yearly	131166	No
581261	Willis	M	willis.rose@gmail.com	7/27/1979	38.03	236-423-4606	Brunswick	Freeman	VA	Yearly	192446	No
793523	Donovan	M	donovan.bowman@hotmail.com	3/3/1987	30.42	207-867-3545	Waldo	Monroe	ME	Yearly	145629	No
178602	Kristina	F	kristina.mcgowan@gmail.com	8/29/1978	38.94	209-530-2084	Merced	Merced	CA	Yearly	185016	Yes
346662	Garth	M	garth.clarke@yahoo.com	11/11/1969	47.74	270-393-1575	Pike	Phyllis	KY	Yearly	80047	Yes
817037	Martin	M	martin.buchanan@charter.net	9/14/1974	42.9	205-434-3924	Cherokee	Centre	AL	Yearly	105374	Yes
648913	Irwin	M	irwin.jenkins@aol.com	5/20/1975	42.22	231-682-6128	Grand Traverse	Traverse City	MI	Yearly	48133	Yes
924281	Reynaldo	M	reynaldo.sosa@gmail.com	10/15/1965	51.82	212-493-7300	Jamaica	Jamaica	NY	Yearly	153633	Yes
951857	Sherri	F	sherri.snyder@gmail.com	5/30/1991	26.18	314-249-8205	St. Louis	Saint Louis	MO	Yearly	65798	Yes
474759	Johnny	M	johnny.dunlap@gmail.com	11/2/1962	54.77	229-688-3291	Irwin	Irwinville	GA	Yearly	193315	Yes
144715	Earnest	M	earnest.kirk@gmail.com	3/1/1965	52.44	207-952-5215	Aroostook	Masardis	ME	Yearly	168726	Yes
141086	Bernardo	M	bernardo.mcdowell@gmail.com	5/28/1963	54.21	239-768-1883	Broward	Hollywood	FL	Yearly	118615	Yes
633255	Yvette	F	yvette.warner@yahoo.com	6/17/1996	21.13	215-245-5970	Centre	Orviston	PA	Yearly	190579	Yes
768457	Robby	M	robby.jordan@comcast.net	3/20/1974	43.39	206-604-6965	Pend Oreille	Metaline	WA	Yearly	119793	Yes
583282	Carolina	F	carolina.coleman@aol.com	10/30/1994	22.76	239-928-5690	Seminole	Sanford	FL	Yearly	166828	Yes
421955	Sonia	F	sonia.cook@gmail.com	7/3/1965	52.1	236-937-1339	Giles	Pearisburg	VA	Yearly	191691	Yes
556491	Larry	M	larry.tran@gmail.com	1/12/1970	47.57	304-994-1002	Pliny	Pliny	WV	Yearly	129203	Yes
701223	Esmeralda	F	esmeralda.grant@yahoo.com	12/19/1990	26.62	262-728-1705	Lafayette	Shullsburg	WI	Yearly	190367	Yes
122005	Candy	F	candy.singleton@hotmail.com	6/29/1981	36.1	205-585-4936	Elmore	Wetumpka	AL	Half-yearly	175771	Yes
461385	Emma	F	emma.obrien@gmail.com	9/15/1966	50.9	262-707-3676	Marquette	Briggsville	WI	Half-yearly	182870	Yes
249180	Scot	M	scot.beach@sbcglobal.net	7/31/1980	37.02	319-334-1932	Pocahontas	Pocahontas	IA	Half-yearly	141641	Yes
634658	Rolland	M	rolland.mendoza@yahoo.com	8/5/1966	51.01	228-727-6767	Hinds	Jackson	MS	Half-yearly	75123	Yes
842752	Tommie	F	tommie.sanchez@gmail.com	6/6/1974	43.17	205-823-2834	Randolph	Wedowee	AL	Half-yearly	155291	Yes
513773	Jessie	M	jessie.cortez@exxonmobil.com	9/20/1981	35.88	239-810-9402	Pinellas	Clearwater	FL	Half-yearly	102944	Yes
781472	Isiah	M	isiah.guthrie@bellsouth.net	8/19/1965	51.98	385-228-9893	Wasatch	Heber City	UT	Half-yearly	45519	Yes
747200	Janelle	F	janelle.gill@gmail.com	5/27/1962	55.21	236-897-3910	Falls Church (city)	Falls Church	VA	Half-yearly	131182	Yes
932425	Christoper	M	christoper.haynes@yahoo.com	9/1/1979	37.93	210-869-1768	Lavaca	Speaks	TX	Half-yearly	84029	Yes
962851	Kathie	F	kathie.kirby@sbcglobal.net	11/22/1986	30.7	505-502-1526	Do¤a Ana	Santa Teresa	NM	Yearly	65985	Yes
168829	Antonia	F	antonia.kinney@gmail.com	2/9/1985	32.48	239-363-8520	Broward	Fort Lauderdale	FL	Yearly	148623	Yes
603575	Ophelia	F	ophelia.wagner@ibm.com	2/2/1972	45.52	480-956-7391	Maricopa	Scottsdale	AZ	Yearly	45192	Yes
419075	Hallie	F	hallie.cervantes@aol.com	6/30/1979	38.1	270-272-6620	Breckinridge	Se Ree	KY	Yearly	192037	Yes
224473	Adriana	F	adriana.mcfarland@outlook.com	8/29/1978	38.94	308-264-5555	Sheridan	Gordon	NE	Yearly	71847	Yes
552582	Jana	F	jana.weiss@gmail.com	1/4/1968	49.6	229-852-3944	Clarke	Athens	GA	Yearly	141390	Yes
724235	Quentin	M	quentin.benson@gmail.com	3/21/1980	37.38	262-949-3970	Chippewa	Chippewa Falls	WI	Yearly	75837	Yes
908007	Debra	F	debra.pena@ibm.com	11/25/1990	26.69	215-707-4774	Clarion	Kossuth	PA	Yearly	113267	No
871610	Kenton	M	kenton.moreno@shell.com	1/19/1993	24.54	217-404-9496	Lake	Highland Park	IL	Single	148664	No
491595	Ian	M	ian.alvarado@aol.com	9/25/1965	51.87	205-934-4799	Madison	Huntsville	AL	Single	109416	No
821474	Jasper	M	jasper.lucas@yahoo.co.in	9/18/1981	35.88	316-544-2902	Anderson	Greeley	KS	Single	96328	No
206783	Brock	M	brock.roberts@yahoo.co.in	2/27/1968	49.45	304-276-6112	McDowell	Gary	WV	Single	158082	No
870463	Salvador	M	salvador.deleon@hotmail.com	4/7/1969	48.34	217-253-3858	Cook	Riverdale	IL	Single	55351	No
809491	Terence	M	terence.giles@yahoo.com	9/15/1976	40.89	205-271-2216	Shelby	Montevallo	AL	Single	145954	No
924427	Dario	M	dario.townsend@yahoo.com	5/10/1962	55.25	209-535-5945	Los Angeles	Torrance	CA	Half-yearly	116911	No
505780	Ester	F	ester.houston@ibm.com	3/12/1978	39.41	215-803-3018	Adams	Arendtsville	PA	Half-yearly	65748	No
149904	Leanne	F	leanne.mcmahon@shaw.ca	1/11/1964	53.58	207-567-1649	Washington	Brookton	ME	Half-yearly	144108	No
886315	Valentin	M	valentin.montoya@aol.com	11/7/1965	51.76	423-851-9829	Roane	Kingston	TN	Half-yearly	164411	Yes
948512	Jared	M	jared.shepherd@ntlworld.com	3/26/1996	21.35	212-443-7359	Chautauqua	Dewittville	NY	Half-yearly	47359	Yes
780963	Jami	F	jami.cantrell@hotmail.com	3/30/1986	31.35	217-840-0373	Cook	Country Club Hills	IL	Half-yearly	196942	Yes
282037	Bruno	M	bruno.whitney@sbcglobal.net	3/21/1976	41.38	205-929-8374	Lauderdale	Killen	AL	Half-yearly	182912	Yes
505758	Garland	M	garland.watkins@apple.com	1/14/1962	55.57	210-488-3772	Bosque	Kopperl	TX	Half-yearly	70852	Yes
487100	Augustus	M	augustus.maldonado@yahoo.com	5/25/1992	25.19	231-510-3900	Jackson	Napoleon	MI	Half-yearly	139481	Yes
974444	Luther	M	luther.mcneil@aol.com	3/31/1992	25.34	217-960-5560	Lake	Winthrop Harbor	IL	Half-yearly	46241	Yes
829416	Jimmy	M	jimmy.molina@gmail.com	5/8/1966	51.26	228-944-2045	Harrison	Biloxi	MS	Half-yearly	138022	Yes
146825	Morton	M	morton.franklin@cox.net	8/22/1960	56.97	302-718-2676	Kent	Kenton	DE	Half-yearly	136498	Yes
603179	Andrew	M	andrew.price@yahoo.co.uk	3/6/1987	30.42	216-707-4827	Van Wert	Ohio City	OH	Half-yearly	189614	Yes
175035	Ava	F	ava.romero@aol.com	5/25/1972	45.21	205-665-8463	DeKalb	Fort Payne	AL	Half-yearly	154633	Yes
358935	Anastasia	F	anastasia.bowen@gmail.com	12/23/1992	24.61	240-646-3168	Montgomery	Garrett Park	MD	Half-yearly	196480	Yes
608832	Sabrina	F	sabrina.fowler@outlook.com	1/3/1982	35.59	228-504-7673	Bolivar	Duncan	MS	Half-yearly	130226	Yes
509911	Kirsten	F	kirsten.lee@hotmail.com	10/16/1968	48.81	314-227-1897	St. Louis (city)	Saint Louis	MO	Half-yearly	61126	Yes
354363	Tabatha	F	tabatha.arnold@gmail.com	7/29/1976	41.02	239-581-1465	Santa Rosa	Bagdad	FL	Half-yearly	62009	Yes
344607	Gregg	M	gregg.mann@verizon.net	5/15/1959	58.24	339-989-4749	Bristol	Dartmouth	MA	Half-yearly	188608	Yes
191963	Deanne	F	deanne.mccarty@charter.net	1/3/1974	43.59	319-336-2399	Page	Clarinda	IA	Half-yearly	91068	Yes
695631	Juanita	F	juanita.zimmerman@hotmail.com	10/16/1974	42.81	907-789-9367	Kenai Peninsula	Seward	AK	Half-yearly	86919	Yes
547420	Doug	M	doug.small@hotmail.com	12/8/1991	25.65	236-456-9446	Highland	Doe Hill	VA	Half-yearly	139670	No
403674	Billy	M	billy.mcdowell@gmail.com	10/6/1983	33.83	270-556-2299	Meade	Rhodelia	KY	Half-yearly	170510	No
988937	Boyd	M	boyd.valencia@gmail.com	6/9/1987	30.16	209-925-2984	Santa Clara	Mount Hamilton	CA	Half-yearly	180715	No
937737	Roberto	M	roberto.caldwell@gmail.com	8/12/1994	22.98	217-438-3997	Peoria	Peoria	IL	Half-yearly	71924	No
144235	Kris	M	kris.conner@gmail.com	5/23/1962	55.22	203-368-9792	Windham	Ballouville	CT	Half-yearly	102819	No
866051	Leann	F	leann.ortiz@gmail.com	2/16/1990	27.46	215-754-3823	Huntingdon	Neelyton	PA	Half-yearly	86569	No
